date,all_adv,all_dec,all_unch,all_nh,all_nl,all_nhl_n,all_ma20,all_ma50,all_ma200,all_upvol,all_dnvol,all_amt,all_turnover,kospi_adv,kospi_dec,kospi_unch,kospi_nh,kospi_nl,kospi_nhl_n,kospi_ma20,kospi_ma50,kospi_ma200,kospi_upvol,kospi_dnvol,kospi_amt,kospi_turnover,kosdaq_adv,kosdaq_dec,kosdaq_unch,kosdaq_nh,kosdaq_nl,kosdaq_nhl_n,kosdaq_ma20,kosdaq_ma50,kosdaq_ma200,kosdaq_upvol,kosdaq_dnvol,kosdaq_amt,kosdaq_turnover,top10_share,penny_share,top50_penny,cap_up,cap_down,kospi_close,kosdaq_close,vkospi
2025-02-04,1903,493,135,0,0,0,,,,13.8545,3.6899,18.0581,0.7908,682,202,48,0,0,0,,,,8.3153,2.445,10.8263,0.5397,1221,291,87,0,0,0,,,,5.5392,1.2449,7.2317,2.6052,31.2915,1.642,0,5,1,2481.69,719.92,
2025-02-05,1650,733,150,0,0,0,,,,12.8111,3.2888,16.8583,0.7281,579,297,56,0,0,0,,,,6.658,2.4185,9.7657,0.4802,1071,436,94,0,0,0,,,,6.1532,0.8702,7.0926,2.5167,34.0836,1.8143,1,2,1,2509.27,730.98,
2025-02-06,1454,889,191,0,0,0,,,,14.9146,3.7929,18.8934,0.8072,589,275,69,0,0,0,,,,9.1813,2.3121,11.5806,0.5633,865,614,122,0,0,0,,,,5.7333,1.4808,7.3128,2.57,30.4091,1.5487,0,5,0,2536.75,740.32,
2025-02-07,851,1512,171,0,0,0,,,,10.7419,8.1777,18.9995,0.8152,283,591,59,0,0,0,,,,3.7193,6.2343,9.978,0.4881,568,921,112,0,0,0,,,,7.0226,1.9434,9.0215,3.1527,27.2435,1.4612,1,5,0,2521.92,742.9,
2025-02-10,1281,1066,187,0,0,0,,,,11.8931,7.5705,19.9605,0.8551,412,445,76,0,0,0,,,,4.7436,5.4515,10.388,0.508,869,621,111,0,0,0,,,,7.1495,2.119,9.5725,3.3091,25.8187,0.9131,0,8,1,2521.27,749.67,
2025-02-11,1169,1216,197,0,0,0,,,,14.7771,5.5463,20.847,0.8533,463,402,67,0,0,0,,,,8.4612,2.1537,10.9106,0.5295,706,814,130,0,0,0,,,,6.3159,3.3926,9.9365,2.5971,29.3362,1.4418,1,6,2,2539.05,749.59,
2025-02-12,825,1582,175,0,0,0,,,,13.505,7.4689,22.3414,0.912,328,542,62,0,0,0,,,,9.8672,3.7753,13.7354,0.6638,497,1040,113,0,0,0,,,,3.6378,3.6935,8.606,2.2612,35.4971,1.2668,1,6,0,2548.39,745.18,
2025-02-13,1431,965,187,0,0,0,,,,17.0104,5.9742,25.0089,1.0082,563,305,64,0,0,0,,,,11.9263,3.5504,16.8013,0.801,868,660,123,0,0,0,,,,5.0841,2.4238,8.2076,2.1428,28.4528,1.0813,0,4,0,2583.17,749.28,
2025-02-14,1222,1160,202,0,0,0,,,,15.3904,7.5505,23.5667,0.9465,489,360,83,0,0,0,,,,8.6373,4.8382,13.6172,0.6475,733,800,119,0,0,0,,,,6.7531,2.7123,9.9495,2.5722,30.1429,0.811,0,2,2,2591.05,756.32,
2025-02-17,1663,752,170,0,0,0,,,,14.3474,3.9348,20.2337,0.8055,608,262,62,0,0,0,,,,7.0248,2.3909,10.8931,0.5142,1055,490,108,0,0,0,,,,7.3226,1.5439,9.3406,2.3728,24.409,0.6958,0,4,2,2610.42,768.48,
